ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Tags,Acceptance Criteria,Description
,Epic,Azure DevOps Hands-on labs,,,,New,labs,,<div>Help to get started with Azure DevOps services. </div>
,Feature,,1.0 - Version Controlling with Azure Repos,,,New,repos,,<div>Learn how to use Azure Repos to manage code source. </div>
,User Story,,,1.1 - Create web app repository,,New,repos,<div>A new repository <b>Web App </b>is created in Azure Repos. </div>,"<div>As a developer, I would like to create a new repository for my web application, so I can manage the code with Azure Repos. </div><div><br> </div>"
,Task,,,,1.1.1 - Create repository,New,,,"<div><ul><li>Go to <b>Project Settings </b> </li><li>Go to <b>Repositories </b> </li><li>Click <b>+Create</b> button </li><li>Give Repository name, like <b>Web App</b> </li><li>Uncheck 'Add a README' </li><li>Click <b>Create </b> </li> </ul> </div><div><br> </div>"
,Task,,,,1.1.2 - Import code from a repository,New,,,"<div><ol><li>Go to Repos </li><li>Click Branches </li><li>Click 'Import' button under Import a repository </li><li>Enter&nbsp;<a href=""https://github.com/shiyinbai/WebAppDemo.git"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">https://github.com/shiyinbai/WebAppDemo.git</a>&nbsp;under Clone URL </li><li>Click Import </li> </ol> </div><div><div style=""line-height:125%;margin-top:1.0pt;margin-bottom:0pt;margin-left:.68in;text-indent:-.29in;text-align:left;unicode-bidi:embed;""><span style=""font-size:18.0pt;font-family:Verdana;color:black;""><span><br></span><span></span></span> </div> </div>"
,User Story,,,1.2 - Cloning repository and working with Visual Studio Code,,New,repos,<div><ul><li>Clone the repository on local machine </li><li>Work with VS Code </li><li>Push changes to Azure Repos </li> </ul> </div>,"<div>As a developer, I would like to clone the repository on my local machine, so I can work with VS Code. </div>"
,Task,,,,1.2.1 - Clone repository in Visual Studio Code,New,,,<div><ol><li>Navigate to <b>Repos</b> </li><li>Click <b>Clone</b> </li><li>Click <b>Clone in VS Code</b>&nbsp;button under IDE </li> </ol> </div>
,Task,,,,1.2.2 - Working locally and synchronizing changes ,New,,,"<div><ol><li>Go to <i>Program.cs</i> file in VS Code. </li><li>Add some comments on the top of the file, like<i> // My first change.</i> </li><li>Save change and commit it </li><li>Synchronize changes </li> </ol> </div>"
,Task,,,,1.2.3 - Reviewing commits,New,,,<div><ol><li>Switch to Azure DevOps </li><li>Go to Repos </li><li>Click Commits </li><li>Check the changes on the file <i>Program.cs</i> with comments <i>'My first change</i>' </li> </ol> </div><div><br> </div>
,User Story,,,1.3 - Working with multiple branches,,New,repos,<div><ul><li>Create a new branch on local machine </li><li>Push new branch to Azure DevOps </li> </ul> </div>,"<div>As a developer, I would like to create a new branch, so I can work independently and avoid to impact other developers. </div>"
,Task,,,,1.3.1 - Create dev branch from VS Code,New,,,<div><ol><li>Go to VS Code </li><li>Open command palette with shortcut: <b>Ctrl+Shift+P</b> </li><li>Enter <b>Git: Create Branch From...</b> </li><li>Enter new branch name <b>dev</b> </li><li>Select the <b>master </b>as reference branch </li> </ol> </div><div><br> </div>
,Task,,,,1.3.2 - Working on dev branch and publish to Azure DevOps,New,,,"<div><ul><li>In VS Code, make sure you are working on <b>dev </b>branch </li><li>Open <b>Program.cs</b> file, on the top of file, change <b>// My first change.</b> to <b>// My second change.</b> </li><li>Commit changes </li><li>Publish branch </li><li>Check dev branch has been created in Azure DevOps Repos </li> </ul> </div>"
,User Story,,,1.4 - Working with Pull Request,,New,repos,<div><ul><li>Define branch policies </li><li>Push to main branch only by using a pull request </li> </ul> </div>,"<div>As a Developer, I would like configure branch policies, so I can protect the main branch by pull request. </div>"
,Task,,,,1.4.1 - Create a new pull request,New,,,"<div><ol><li>Go to Azure DevOps </li><li>Click <b>Branches </b>of <b>Repos hub</b> </li><li>Find the message <i>you updated dev xxm ago</i> </li><li>Click <b>Create a pull request </b>button </li><li>In New pull request form: </li><ol style=""list-style:lower-alpha;""><li><span style="""">Verify that the pull request merge changes from </span><b style="""">dev to master</b> </li><li><span style="""">Enter Title and Description</span> </li><li><span style="""">Click Create button</span> </li> </ol> </ol> </div><div><br> </div>"
,Task,,,,1.4.2 - Manage pull request,New,,,<div><ol><li>Go to<b> Pull requests</b> of Repos hub </li><li>Click on the pull just created </li><li>Complete the pull request </li><li>Check the merge result on master branch </li> </ol> </div>
,Task,,,,1.4.3 - Create pull request policies,New,,,"<div><ol><li>Go to Azure DevOps </li><li>Click <b>Project settings</b> </li><li>Click <b>Repositories</b> </li><li>Click <b>Web App Demo</b> repository </li><li>Click <b>Policies </b>tab </li><li>Click <b>master branch</b> at the bottom of the page </li><li>In Branch Polices section: </li><ol style=""list-style:lower-alpha;""><li>Toggle on <i>Require a minimum number of reviewers</i> and set value to <b>1</b> </li><li>Tick <i>Allow requestors to approve their own changes</i> </li><li><span style=""display:inline !important;"">Toggle<span>&nbsp;</span></span>on <i>Check for linked work items</i> </li><li><span style=""display:inline !important;"">Toggle<span>&nbsp;</span></span>on <i>Check for comment resolution</i> </li> </ol> </ol> </div><div><br> </div><div>&nbsp; </div>"
